paper	journal	f_stat	value
Lin et al. 2008	Mol. Ecol.	Fst	0.014
Lin et al. 2008	Mol. Ecol.	Fst	0.013
Lin et al. 2008	Mol. Ecol.	Fst	0.018
Lin et al. 2008	Mol. Ecol.	Fst	0.009
Lin et al. 2008	Mol. Ecol.	Fst	-0.001
Lin et al. 2008	Mol. Ecol.	Fst	0.008
Lin et al. 2008	Mol. Ecol.	Fst	0.012
Lin et al. 2008	Mol. Ecol.	Fst	0.011
Lin et al. 2008	Mol. Ecol.	Fst	0.003
Lin et al. 2008	Mol. Ecol.	Fst	0.003
Lin et al. 2008	Mol. Ecol.	Fst	0.001
Lin et al. 2008	Mol. Ecol.	Fst	0.015
Lin et al. 2008	Mol. Ecol.	Fst	-0.001
Lin et al. 2008	Mol. Ecol.	Fst	0.003
Lin et al. 2008	Mol. Ecol.	Fst	0.008
Lin et al. 2008	Mol. Ecol.	Fst	0.001
Lin et al. 2008	Mol. Ecol.	Fst	0.003
Lin et al. 2008	Mol. Ecol.	Fst	0.002
Lin et al. 2008	Mol. Ecol.	Fst	0.008
Lin et al. 2008	Mol. Ecol.	Fst	0.004
Lin et al. 2008	Mol. Ecol.	Fst	0.014
Lin et al. 2008	Mol. Ecol.	Fst	0.004
Lin et al. 2008	Mol. Ecol.	Fst	0.006
Lin et al. 2008	Mol. Ecol.	Fst	0.010
Lin et al. 2008	Mol. Ecol.	Fst	0.012
Lin et al. 2008	Mol. Ecol.	Fst	0.004
Lin et al. 2008	Mol. Ecol.	Fst	0.005
Lin et al. 2008	Mol. Ecol.	Fst	0.009
Lin et al. 2008	Mol. Ecol.	Fst	0.011
Lin et al. 2008	Mol. Ecol.	Fst	0.015
Lin et al. 2008	Mol. Ecol.	Fst	0.012
Lin et al. 2008	Mol. Ecol.	Fst	0.011
Lin et al. 2008	Mol. Ecol.	Fst	0.008
Lin et al. 2008	Mol. Ecol.	Fst	0.005
Lin et al. 2008	Mol. Ecol.	Fst	0.003
Lin et al. 2008	Mol. Ecol.	Fst	0.007
Lin et al. 2008	Mol. Ecol.	Fst	0.009
Lin et al. 2008	Mol. Ecol.	Fst	0.012
Lin et al. 2008	Mol. Ecol.	Fst	-0.002
Lin et al. 2008	Mol. Ecol.	Fst	-0.010
Lin et al. 2008	Mol. Ecol.	Fst	0.001
Lin et al. 2008	Mol. Ecol.	Fst	0.006
Lin et al. 2008	Mol. Ecol.	Fst	0.005
Lin et al. 2008	Mol. Ecol.	Fst	0.001
Lin et al. 2008	Mol. Ecol.	Fst	0.006
Lin et al. 2008	Mol. Ecol.	Fst	0.007
Lin et al. 2008	Mol. Ecol.	Fst	0.010
Lin et al. 2008	Mol. Ecol.	Fst	0.005
Lin et al. 2008	Mol. Ecol.	Fst	0.001
Lin et al. 2008	Mol. Ecol.	Fst	0.003
Lin et al. 2008	Mol. Ecol.	Fst	-0.005
Lin et al. 2008	Mol. Ecol.	Fst	0.006
Lin et al. 2008	Mol. Ecol.	Fst	0.000
Lin et al. 2008	Mol. Ecol.	Fst	0.001
Lin et al. 2008	Mol. Ecol.	Fst	0.002
Lin et al. 2008	Mol. Ecol.	Fst	-0.001
Lin et al. 2008	Mol. Ecol.	Fst	-0.002
Lin et al. 2008	Mol. Ecol.	Fst	-0.001
Lin et al. 2008	Mol. Ecol.	Fst	-0.005
Lin et al. 2008	Mol. Ecol.	Fst	0.005
Lin et al. 2008	Mol. Ecol.	Fst	-0.002
Lin et al. 2008	Mol. Ecol.	Fst	0.010
Lin et al. 2008	Mol. Ecol.	Fst	0.014
Lin et al. 2008	Mol. Ecol.	Fst	0.002
Lin et al. 2008	Mol. Ecol.	Fst	-0.001
Lin et al. 2008	Mol. Ecol.	Fst	-0.001
Lin et al. 2008	Mol. Ecol.	Fst	0.004
Lin et al. 2008	Mol. Ecol.	Fst	0.001
Lin et al. 2008	Mol. Ecol.	Fst	0.006
Lin et al. 2008	Mol. Ecol.	Fst	0.009
Lin et al. 2008	Mol. Ecol.	Fst	0.007
Lin et al. 2008	Mol. Ecol.	Fst	-0.003
Lin et al. 2008	Mol. Ecol.	Fst	0.005
Lin et al. 2008	Mol. Ecol.	Fst	0.010
Lin et al. 2008	Mol. Ecol.	Fst	0.006
Lin et al. 2008	Mol. Ecol.	Fst	0.009
Lin et al. 2008	Mol. Ecol.	Fst	-0.003
Lin et al. 2008	Mol. Ecol.	Fst	0.007
Lin et al. 2008	Mol. Ecol.	Fst	0.003
Lin et al. 2008	Mol. Ecol.	Fst	-0.002
Lin et al. 2008	Mol. Ecol.	Fst	-0.001
Lin et al. 2008	Mol. Ecol.	Fst	0.004
Lin et al. 2008	Mol. Ecol.	Fst	-0.002
Lin et al. 2008	Mol. Ecol.	Fst	-0.005
Lin et al. 2008	Mol. Ecol.	Fst	0.009
Lin et al. 2008	Mol. Ecol.	Fst	-0.002
Lin et al. 2008	Mol. Ecol.	Fst	0.003
Lin et al. 2008	Mol. Ecol.	Fst	-0.007
Lin et al. 2008	Mol. Ecol.	Fst	-0.002
Lin et al. 2008	Mol. Ecol.	Fst	-0.007
Lin et al. 2008	Mol. Ecol.	Fst	0.003
Lin et al. 2008	Mol. Ecol.	Fis	0.401
Lin et al. 2008	Mol. Ecol.	Fis	0.290
Lin et al. 2008	Mol. Ecol.	Fis	0.261
Lin et al. 2008	Mol. Ecol.	Fis	0.188
Lin et al. 2008	Mol. Ecol.	Fis	0.139
Lin et al. 2008	Mol. Ecol.	Fis	0.205
Lin et al. 2008	Mol. Ecol.	Fis	0.072
Lin et al. 2008	Mol. Ecol.	Fis	0.202
Lin et al. 2008	Mol. Ecol.	Fis	0.256
Lin et al. 2008	Mol. Ecol.	Fis	0.219
Lin et al. 2008	Mol. Ecol.	Fis	0.320
Lin et al. 2008	Mol. Ecol.	Fis	0.149
Lin et al. 2008	Mol. Ecol.	Fis	0.313
Lin et al. 2008	Mol. Ecol.	Fis	0.298
Zavodna et al. 2005	J. Evol. Biol.	Fst	0.084
Zavodna et al. 2005	J. Evol. Biol.	Fst	0.011
Zavodna et al. 2005	J. Evol. Biol.	Fst	0.052
Zavodna et al. 2005	J. Evol. Biol.	Fst	0.010
Zavodna et al. 2005	J. Evol. Biol.	Fst	0.004
Zavodna et al. 2005	J. Evol. Biol.	Fst	0.027
Zavodna et al. 2005	J. Evol. Biol.	Fst	0.041
Zavodna et al. 2005	J. Evol. Biol.	Fst	0.011
Zavodna et al. 2005	J. Evol. Biol.	Fst	0.026
Zavodna et al. 2005	J. Evol. Biol.	Fst	-0.009
Zavodna et al. 2005	J. Evol. Biol.	Fst	0.011
Zavodna et al. 2005	J. Evol. Biol.	Fst	0.003
Zavodna et al. 2005	J. Evol. Biol.	Fst	-0.040
Zavodna et al. 2005	J. Evol. Biol.	Fst	-0.019
Zavodna et al. 2005	J. Evol. Biol.	Fst	0.012
Zavodna et al. 2005	J. Evol. Biol.	Fis	0.15
Zavodna et al. 2005	J. Evol. Biol.	Fis	0.41
Zavodna et al. 2005	J. Evol. Biol.	Fis	0.39
Zavodna et al. 2005	J. Evol. Biol.	Fis	0.26
Zavodna et al. 2005	J. Evol. Biol.	Fis	0.31
Zavodna et al. 2005	J. Evol. Biol.	Fis	0.32
