scaffold,start,end,mid,sites,pi_all,species
I,1,10000,6694,386,0.0032,C. inopinata
I,10001,20000,16298,430,0.0021,C. inopinata
I,20001,30000,21943,304,0.0013,C. inopinata
I,40001,50000,44706,415,0.0,C. inopinata
I,70001,80000,71178,537,0.003,C. inopinata
I,80001,90000,87267,461,0.0,C. inopinata
I,90001,100000,96915,1459,0.0028,C. inopinata
I,100001,110000,107716,903,0.0042,C. inopinata
I,110001,120000,115487,3045,0.0038,C. inopinata
I,120001,130000,125220,2160,0.0023,C. inopinata
I,130001,140000,134276,2514,0.0037,C. inopinata
I,140001,150000,144240,2103,0.005,C. inopinata
I,150001,160000,155736,1363,0.0029,C. inopinata
I,160001,170000,166124,291,0.0037,C. inopinata
I,170001,180000,179016,325,0.0009,C. inopinata
I,180001,190000,187198,192,0.0004,C. inopinata
I,190001,200000,192909,627,0.0016,C. inopinata
I,200001,210000,206069,615,0.0003,C. inopinata
I,210001,220000,212093,726,0.0016,C. inopinata
I,220001,230000,226276,1717,0.0009,C. inopinata
I,230001,240000,235489,2018,0.006,C. inopinata
I,240001,250000,245266,677,0.0091,C. inopinata
I,250001,260000,253986,760,0.0039,C. inopinata
I,260001,270000,267658,363,0.0074,C. inopinata
I,280001,290000,283861,366,0.0134,C. inopinata
I,290001,300000,296657,290,0.0061,C. inopinata
I,300001,310000,307454,1674,0.0024,C. inopinata
I,310001,320000,314159,1044,0.0071,C. inopinata
I,320001,330000,326492,1107,0.0075,C. inopinata
I,330001,340000,334243,490,0.0064,C. inopinata
I,340001,350000,343984,1187,0.0053,C. inopinata
I,360001,370000,364531,639,0.007,C. inopinata
I,370001,380000,375871,1813,0.0102,C. inopinata
I,380001,390000,382761,862,0.0041,C. inopinata
I,390001,400000,390970,217,0.0088,C. inopinata
I,400001,410000,402391,223,0.0091,C. inopinata
I,410001,420000,415366,595,0.008,C. inopinata
I,420001,430000,423778,1721,0.0031,C. inopinata
I,430001,440000,435293,1147,0.0031,C. inopinata
I,440001,450000,444841,1836,0.0051,C. inopinata
