Unique_fig_id	Preserved	Plant	Latitude	Longitude	Island	Fig_field_id	Fig_stage	worms_outside	abundant_reproducing_worms	rare_reproducing_worms	abundant_dauer_worms	rare_dauer_worms	rare_adult_abundant_dauer	abundant_adult_abundant_dauer	foundresses	worm_presence
1	0	11	24.807782	125.325943	miyako	1	1		0	0	0	0	0	0	0	0
2	1	12	24.759222	125.325943	miyako	1	2	0	0	1	0	0	0	0	4	1
3	0	12	24.759222	125.325943	miyako	2	1	0	0	0	0	0	0	0	0	0
4	0	12	24.759222	125.325943	miyako	3	2	0	0	0	0	0	0	0	0	0
5	0	13	24.807782	125.325943	miyako	1	1	0	0	0	0	0	0	0		0
6	0	13	24.807782	125.325943	miyako	2	1	0	0	0	0	0	0	0		0
7	0	13	24.807782	125.325943	miyako	3	2	0	0	0	0	0	0	0		0
8	0	13	24.807782	125.325943	miyako	4	1	0	0	0	0	0	0	0		0
9	0	13	24.807782	125.325943	miyako	5	1	0	0	0	0	0	0	0		0
10	0	13	24.807782	125.325943	miyako	1	1	0	0	0	0	0	0	0		0
11	0	13	24.807782	125.325943	miyako	7	2		0	0	0	0	0	0	1	0
12	0	13	24.807782	125.325943	miyako	8	2		0	0	0	0	0	0	1	0
13	0	13	24.807782	125.325943	miyako	9	1		0	0	0	0	0	0	0	0
14	0	13	24.807782	125.325943	miyako	10	1		0	0	0	0	0	0		0
15	0	13	24.807782	125.325943	miyako	11	1		0	0	0	0	0	0		0
16	0	13	24.807782	125.325943	miyako	12	1		0	0	0	0	0	0		0
17	0	13	24.807782	125.325943	miyako	13	1		0	0	0	0	0	0		0
18	0	13	24.807782	125.325943	miyako	14	1		0	0	0	0	0	0		0
19	0	13	24.807782	125.325943	miyako	15	1		0	0	0	0	0	0		0
20	0	13	24.807782	125.325943	miyako	16	1		0	0	0	0	0	0		0
21	0	13	24.807782	125.325943	miyako	17	1		0	0	0	0	0	0		0
22	0	13	24.807782	125.325943	miyako	18	1		0	0	0	0	0	0		0
23	0	14	24.783419	125.37971	miyako	1	5	0	0	0	0	0	0	0		0
24	0	14	24.783419	125.37971	miyako	2	5	0	0	0	0	0	0	0		0
25	0	14	24.783419	125.37971	miyako	3	2	0	0	0	0	0	0	0		0
26	0	14	24.783419	125.37971	miyako	4	2	0	0	0	0	0	0	0		0
27	0	14	24.783419	125.37971	miyako	5	2	0	0	0	0	0	0	0		0
28	0	14	24.783419	125.37971	miyako	6	2	0	0	0	0	0	0	0	0	0
29	1	14	24.783419	125.37971	miyako	7	2	1	0	0	0	0	0	0	1	0
30	1	14	24.783419	125.37971	miyako	8	2	0	0	1	0	0	0	0	1	1
31	1	14	24.783419	125.37971	miyako	9	2	0	0	1	0	0	0	0	0	1
32	1	14	24.783419	125.37971	miyako	10	2	0	0	0	0	0	0	0	1	0
33	0	15	24.789324	125.350049	miyako	1	1	0	0	0	0	0	0	0	0	0
34	0	16	24.733134	125.357949	miyako	1	2	0	0	1	0	0	0	0		1
35	0	16	24.733134	125.357949	miyako	2	2	0	0	0	0	0	0	0	0	0
36	1	16	24.733134	125.357949	miyako	3	2	0	0	1	0	0	0	0	0	1
37	0	16	24.733134	125.357949	miyako	4	2	0	0	0	0	0	0	0	0	0
38	0	16	24.733134	125.357949	miyako	5	2	0	0	1	0	0	0	0		1
39	0	16	24.733134	125.357949	miyako	6	2	0	0	0	0	0	0	0	1	0
40	0	16	24.733134	125.357949	miyako	7	2	0	0	0	0	0	0	0	0	0
41	1	16	24.733134	125.357949	miyako	8	2	0	0	0	0	0	0	0	0	0
42	0	16	24.733134	125.357949	miyako	9	3		0	0	0	0	0	0		0
43	0	16	24.733134	125.357949	miyako	10	2		0	0	0	0	0	0	0	0
44	0	16	24.733134	125.357949	miyako	11	2		0	0	0	0	0	0	0	0
45	0	17	24.733134	125.357949	miyako	1	2	0	0	1	0	0	0	0	3	1
46	0	18	24.763954	125.398676	miyako	1	2	0	0	0	0	0	0	0	1	0
47	0	18	24.763954	125.398676	miyako	2	2	0	0	1	0	0	0	0	1	1
48	0	18	24.763954	125.398676	miyako	3	2	0	0	0	0	0	0	0		0
49	0	18	24.763954	125.398676	miyako	4	2	0	0	0	0	0	0	0		0
50	0	18	24.763954	125.398676	miyako	5	2	0	0	0	0	0	0	0		0
51	1	18	24.763954	125.398676	miyako	6	4	0	0	0	1	0	0	0	0	1
52	1	18	24.763954	125.398676	miyako	7	2	0	1	0	0	0	0	0	3	1
53	1	18	24.763954	125.398676	miyako	8	2	0	1	0	0	0	0	0	6	1
54	1	18	24.763954	125.398676	miyako	9	2	0	0	0	0	0	0	0	2	0
55	0	18	24.763954	125.398676	miyako	10	2	0	0	0	0	0	0	0	2	0
56	1	18	24.763954	125.398676	miyako	11	2	0	1	0	0	0	0	0	6	1
57	0	18	24.763954	125.398676	miyako	12	2	0	0	0	0	0	0	0	0	0
58	0	18	24.763954	125.398676	miyako	13	2	0	0	0	0	0	0	0	0	0
59	0	18	24.763954	125.398676	miyako	14	2	0	0	1	0	0	0	0	0	1
60	0	18	24.763954	125.398676	miyako	15	2	0	0	0	0	0	0	0	0	0
61	0	18	24.763954	125.398676	miyako	16	2	0	0	1	0	0	0	0	1	1
62	0	18	24.763954	125.398676	miyako	17	2	0	0	0	0	0	0	0	2	0
63	0	18	24.763954	125.398676	miyako	18	3	0	0	0	0	0	0	0	0	0
64	0	18	24.763954	125.398676	miyako	19	3	0	0	0	0	0	0	0	0	0
65	1	18	24.763954	125.398676	miyako	20	3	0	0	0	0	1	0	0	0	1
66	0	18	24.763954	125.398676	miyako	21	2	0	0	0	0	0	0	0		0
67	1	18	24.763954	125.398676	miyako	22	2	0	0	1	0	0	0	0	0	1
68	0	18	24.763954	125.398676	miyako	23	2	0	0	0	0	0	0	0	0	0
69	1	18	24.763954	125.398676	miyako	24	2	0	0	0	0	0	0	0	1	0
70	0	18	24.763954	125.398676	miyako	25	2		0	0	0	0	0	0	0	0
71	0	18	24.763954	125.398676	miyako	26	3		0	0	0	0	0	0		0
72	0	18	24.763954	125.398676	miyako	27	3		0	0	0	0	0	0		0
73	0	18	24.763954	125.398676	miyako	28	2		0	0	0	0	0	0	1	0
74	0	18	24.763954	125.398676	miyako	29	2		0	0	0	0	0	0	1	0
75	0	18	24.763954	125.398676	miyako	30	2		0	0	0	0	0	0	0	0
76	0	19	24.784411	125.380982	miyako	1	1	0	0	0	0	0	0	0		0
77	0	19	24.784411	125.380982	miyako	2	2	0	0	0	0	0	0	0		0
78	0	20	24.78345	125.334879	miyako	1	1	0	0	0	0	0	0	0	0	0
79	0	20	24.368952	124.16356	miyako	1	2	0	0	1	0	0	0	0	4	1
80	0	21	24.36823	124.167375	ishigaki	1	2	0	0	0	0	0	0	0	2	0
81	0	22	24.368519	124.16961	ishigaki	1	2	0	0	0	0	0	0	0		0
82	1	22	24.367908	124.16961	ishigaki	2	2	0	1	0	0	0	0	0	2	1
83	0	22	24.368519	124.16961	ishigaki	3	2	0	0	0	0	0	0	0	0	0
84	0	22	24.368519	124.16961	ishigaki	4	2	0	0	0	0	0	0	0	0	0
85	0	22	24.368519	124.16961	ishigaki	5	2	0	0	0	0	0	0	0	1	0
86	0	22	24.368519	124.16961	ishigaki	6	2	0	0	0	0	0	0	0	1	0
87	0	23	24.367908	124.16961	ishigaki	1	2	0	0	0	0	0	0	0	1	0
88	0	24	24.369519	124.171667	ishigaki	1	1	0	0	0	0	0	0	0	0	0
89	0	25	24.369519	124.171667	ishigaki	1	2	0	0	1	0	0	0	0	1	1
90	0	27	24.370123	124.172301	ishigaki	1	2	0	0	0	0	0	0	0	4	0
91	0	28	24.375686	124.55744	ishigaki	1	2	0	0	0	0	0	0	0	2	0
92	0	29	24.375686	124.55744	ishigaki	1	2	0	0	0	0	0	0	0	2	0
93	0	31	24.375672	124.156998	ishigaki	1	2	0	0	0	0	0	0	0	5	0
94	0	35	24.378792	124.155952	ishigaki	1	2	0	0	1	0	0	0	0	4	1
95	0	35	24.378792	124.155952	ishigaki	2	2	0	0	0	0	0	0	0	0	0
96	1	37	24.380209	124.156223	ishigaki	1	2	0	1	0	0	0	0	0	8	1
97	0	38	24.380209	124.156223	ishigaki	1	2	0	0	0	0	0	0	0		0
98	0	38	24.382097	124.159071	ishigaki	1	2	0	0	0	0	0	0	0	4	0
99	0	39	24.382097	124.159071	ishigaki	1	2	0	0	0	0	0	0	0	0	0
100	1	40	24.380209	124.126223	ishigaki	1	2	0	1	0	0	0	0	0	2	1
101	1	40	24.380209	124.126223	ishigaki	1	2	0	0	1	0	0	0	0	1	1
102	0	41	24.3831	124.160936	ishigaki	1	2	0	0	0	0	0	0	0	0	0
103	1	41	24.3831	124.160936	ishigaki	2	2	0	1	0	0	0	0	0	4	1
104	0	41	24.3831	124.160936	ishigaki	3	2	0	0	0	0	0	0	0	2	0
105	0	41	24.3831	124.160936	ishigaki	4	2	0	0	0	0	0	0	0	1	0
106	0	42	24.383628	124.161136	ishigaki	1	2	0	0	0	0	0	0	0	3	0
107	0	43	24.87096	124.161371	ishigaki	1	2	0	0	0	0	0	0	0	0	0
108	0	44	24.3871	123.161197	iriomote	1	2	0	1	0	0	0	0	0		1
109	1	44	24.3871	123.161197	iriomote	2	2	0	1	0	0	0	0	0	8	1
110	0	44	24.3871	123.161197	iriomote	3	2	0	0	0	0	0	0	0	6	0
111	1	44	24.3871	123.161197	iriomote	4	2	0	1	0	0	0	0	0	6	1
112	0	44	24.3871	123.161197	iriomote	5	2	0	0	0	0	0	0	0	1	0
113	0	44	24.3871	123.161197	iriomote	6	2	0	0	0	0	0	0	0	1	0
114	0	45	24.368832	123.748466	iriomote	1	2	0	0	1	0	0	0	0	1	1
115	0	48	24.373539	123.753349	iriomote	1	2	0	0	1	0	0	0	0	2	1
116	1	50	24.375657	123.753349	iriomote	1	2	0	1	0	0	0	0	0	10	1
117	1	50	24.375657	123.753349	iriomote	2	2	0	1	0	0	0	0	0	8	1
118	0	50	24.375657	123.753349	iriomote	3	2	0	0	1	0	0	0	0	0	1
119	0	50	24.375657	123.753349	iriomote	4	2	0	0	0	0	0	0	0	8	0
120	1	51	24.391879	123.75337	iriomote	1	2	0	1	0	0	0	0	0	1	1
121	1	51	24.391879	123.75337	iriomote	2	2	0	1	0	0	0	0	0	1	1
122	1	52	24.391879	123.75337	iriomote	1	2	0	1	0	0	0	0	0	0	1
123	1	52	24.391879	123.75337	iriomote	2	2	0	1	0	0	0	0	0	6	1
124	0	53	24.39527	123.757051	iriomote	1	5	0	0	0	0	0	0	0	0	0
125	0	54	24.396361	123.764353	iriomote	1	5	0	0	0	0	1	0	0	0	1
126	0	54	24.396361	123.764353	iriomote	2	5		0	0	0	0	0	0		0
127	1	54	24.396361	123.764353	iriomote	3	5		0	0	1	0	0	0		1
128	0	54	24.396361	123.764353	iriomote	4	5		0	0	0	0	0	0		0
129	0	54	24.396361	123.764353	iriomote	5	5		0	0	0	0	0	0		0
130	0	54	24.396361	123.764353	iriomote	6	5		0	0	0	0	0	0		0
131	0	54	24.396361	123.764353	iriomote	7	5		0	0	0	0	0	0		0
132	0	54	24.396361	123.764353	iriomote	8	5		0	0	0	0	0	0		0
133	0	54	24.396361	123.764353	iriomote	9	5		0	0	1	0	0	0		1
134	0	54	24.396361	123.764353	iriomote	10	5		0	0	0	0	0	0		0
135	0	54	24.396361	123.764353	iriomote	11	5		0	0	0	0	0	0		0
136	0	54	24.396361	123.764353	iriomote	12	5		0	0	0	0	0	0		0
137	0	55	24.397271	123.766102	iriomote	1	2	0	0	1	0	0	0	0	1	1
138	0	56	24.429601	123.782985	iriomote	1	2	0	0	0	0	0	0	0	0	0
139	0	57	24.426211	123.793008	iriomote	1	1	0	0	0	0	0	0	0	0	0
140	1	58	24.426211	123.793008	iriomote	1	2	0	0	0	0	0	0	1	0	1
141	1	60	24.405281	123.83546	iriomote	1	2	0	1	0	0	0	0	0	3	1
142	1	61	24.40466	123.936344	iriomote	1	3	0	0	0	1	0	0	0	3	1
143	0	62	24.402155	123.842999	iriomote	1	2	0	0	0	0	0	0	0	0	0
144	0	63	24.399641	123.853218	iriomote	1	2	0	0	0	0	0	0	0	0	0
145	0	64	24.399641	123.853218	iriomote	1	3		0	0	1	0	0	0		1
146	0	64	24.399641	123.853218	iriomote	2	3		0	0	1	0	0	0		1
147	0	64	24.399641	123.853218	iriomote	3	4		0	0	1	0	0	0		1
148	0	64	24.399641	123.853218	iriomote	4	3		0	0	1	0	0	0		1
149	0	64	24.399641	123.853218	iriomote	5	4		0	0	1	0	0	0		1
