sample_id	island	tree_id	fig_id	Latitude	Longitude
A03.bam	yonaguni	87	87-3	24.456493	123.005632
A05.bam	yonaguni	89	89-3	24.454578	123.00328
B03.bam	yonaguni	87	87-3	24.456493	123.005632
dec_2016_D01.bam	iriomote	72	72-16	24.265524	123.85055
dec_2016_D02.bam	iriomote	72	72-16	24.265524	123.85055
dec_2016_D03.bam	ishigaki	44	44-1	24.3871	124.161197
dec_2016_D04.bam	ishigaki	44	44-1	24.3871	124.161197
dec_2016_D05.bam	ishigaki	44	44-1	24.3871	124.161197
dec_2016_D10.bam	yonaguni	89	89-2	24.454578	123.00328
may_2017_A11.bam	ishigaki	22	22-2	24.368519	124.16961
may_2017_A12.bam	iriomote	72	72-17	24.265524	123.85055
may_2017_B11.bam	ishigaki	22	22-2	24.368519	124.16961
may_2017_B12.bam	ishigaki	22	22-2	24.368519	124.16961
may_2017_C11.bam	iriomote	72	72-17	24.265524	123.85055
may_2017_C12.bam	ishigaki	44	44-1	24.3871	124.161197
may_2017_D11.bam	iriomote	72	72-17	24.265524	123.85055
may_2017_D12.bam	ishigaki	44	44-2	24.3871	124.161197
may_2017_E11.bam	iriomote	72	72-16	24.265524	123.85055
may_2017_E12.bam	ishigaki	44	44-2	24.3871	124.161197
may_2017_F11.bam	yonaguni	89	89-4	24.454578	123.00328
may_2017_G12.bam	ishigaki	22	22-2	24.368519	124.16961
may_2017_H10.bam	ishigaki	44	44-2	24.3871	124.161197
may_2017_H11.bam	yonaguni	89	89-4	24.454578	123.00328
may_2017_H12.bam	ishigaki	22	22-2	24.368519	124.16961
