Chr,start,end,mid,sites,Pi,perc_RAD
I,110001,120000,114344,210,0.0,100%
I,120001,130000,123984,210,0.0004,100%
I,200001,210000,204612,172,0.0,100%
I,230001,240000,235042,173,0.0072,100%
I,290001,300000,294082,176,0.0,100%
I,360001,370000,364115,249,0.0003,100%
I,420001,430000,425646,210,0.0022,100%
I,500001,510000,508486,175,0.0009,100%
I,510001,520000,514849,185,0.0,100%
I,770001,780000,777146,201,0.0027,100%
I,800001,810000,806763,178,0.0015,100%
I,1030001,1040000,1034195,255,0.0058,100%
I,1240001,1250000,1242517,213,0.0023,100%
I,1270001,1280000,1277392,173,0.011,100%
I,1420001,1430000,1425752,183,0.0005,100%
I,1460001,1470000,1465302,245,0.0146,100%
I,1910001,1920000,1915179,180,0.0076,100%
I,2050001,2060000,2057154,180,0.0027,100%
I,2090001,2100000,2096749,162,0.0,100%
I,2300001,2310000,2304326,270,0.0006,100%
I,2310001,2320000,2314557,260,0.0038,100%
I,2420001,2430000,2426059,205,0.0012,100%
I,2450001,2460000,2452987,210,0.0016,100%
I,2480001,2490000,2487224,212,0.0054,100%
I,2620001,2630000,2625221,187,0.0004,100%
I,2710001,2720000,2714248,169,0.0,100%
I,2780001,2790000,2785252,180,0.0005,100%
I,2920001,2930000,2924595,179,0.0,100%
I,3100001,3110000,3105326,199,0.0,100%
I,3150001,3160000,3153823,267,0.0,100%
I,3250001,3260000,3256269,168,0.0026,100%
I,3430001,3440000,3436451,236,0.0015,100%
I,3500001,3510000,3506059,180,0.004,100%
I,3550001,3560000,3556191,209,0.0019,100%
I,3610001,3620000,3612626,267,0.0,100%
I,3690001,3700000,3694918,227,0.0008,100%
I,3710001,3720000,3715418,238,0.0013,100%
I,3730001,3740000,3735017,193,0.0,100%
I,3740001,3750000,3742984,178,0.0,100%
I,3780001,3790000,3785461,180,0.0,100%
I,3810001,3820000,3813950,180,0.0027,100%
I,3830001,3840000,3835502,263,0.003,100%
I,3840001,3850000,3842391,180,0.0,100%
I,3930001,3940000,3936960,270,0.0006,100%
I,3940001,3950000,3943932,210,0.0,100%
I,3980001,3990000,3986344,204,0.0008,100%
I,4080001,4090000,4084392,180,0.0,100%
I,4100001,4110000,4106802,194,0.0,100%
I,4110001,4120000,4112982,269,0.002,100%
I,4200001,4210000,4206504,240,0.0,100%
I,4210001,4220000,4213776,172,0.0,100%
I,4220001,4230000,4224587,179,0.0,100%
I,4230001,4240000,4235218,180,0.0,100%
I,4250001,4260000,4254514,180,0.0,100%
I,4380001,4390000,4384195,210,0.0004,100%
I,4390001,4400000,4395169,330,0.0,100%
I,4580001,4590000,4584185,180,0.0019,100%
I,4690001,4700000,4693753,240,0.0,100%
I,4700001,4710000,4703368,163,0.0018,100%
I,4730001,4740000,4736535,210,0.0,100%
I,4750001,4760000,4755631,179,0.0,100%
I,4800001,4810000,4803872,181,0.0005,100%
I,4820001,4830000,4825340,358,0.0004,100%
I,4900001,4910000,4904421,215,0.0004,100%
I,4910001,4920000,4915155,239,0.0003,100%
I,4990001,5000000,4992546,166,0.0,100%
I,5060001,5070000,5064362,237,0.0,100%
I,5110001,5120000,5115196,180,0.0,100%
I,5140001,5150000,5146127,189,0.0,100%
I,5160001,5170000,5164707,210,0.0008,100%
I,5170001,5180000,5175296,270,0.0,100%
I,5240001,5250000,5246682,180,0.0005,100%
I,5250001,5260000,5255199,197,0.0,100%
I,5270001,5280000,5275964,266,0.0006,100%
I,5320001,5330000,5326036,240,0.0003,100%
I,5370001,5380000,5377694,180,0.0014,100%
I,5410001,5420000,5414996,270,0.0003,100%
I,5430001,5440000,5437116,200,0.0,100%
I,5480001,5490000,5485322,180,0.0,100%
I,5520001,5530000,5525053,210,0.0,100%
I,5540001,5550000,5545900,210,0.0024,100%
I,5560001,5570000,5565491,300,0.0,100%
I,5570001,5580000,5574075,210,0.0008,100%
I,5580001,5590000,5584981,180,0.0,100%
I,5640001,5650000,5645434,180,0.0005,100%
I,5650001,5660000,5654450,300,0.0008,100%
I,5660001,5670000,5664508,240,0.0003,100%
I,5730001,5740000,5734519,180,0.0,100%
I,5770001,5780000,5774697,269,0.0,100%
I,5800001,5810000,5805508,180,0.0,100%
I,5810001,5820000,5814932,300,0.0,100%
I,5820001,5830000,5824584,210,0.0,100%
I,5830001,5840000,5835438,182,0.0,100%
I,5850001,5860000,5854239,209,0.0,100%
I,5860001,5870000,5865675,240,0.0,100%
I,5920001,5930000,5925109,240,0.0003,100%
I,5940001,5950000,5945858,180,0.001,100%
I,5960001,5970000,5963979,229,0.0007,100%
I,5970001,5980000,5973339,229,0.0,100%
I,6000001,6010000,6006603,195,0.0008,100%
I,6010001,6020000,6014270,224,0.0,100%
I,6040001,6050000,6044936,294,0.0,100%
I,6050001,6060000,6056629,180,0.0,100%
I,6080001,6090000,6086769,207,0.0016,100%
I,6090001,6100000,6095344,180,0.0,100%
I,6180001,6190000,6185773,231,0.0,100%
I,6240001,6250000,6245688,210,0.0008,100%
I,6280001,6290000,6284709,180,0.0009,100%
I,6300001,6310000,6304398,209,0.0,100%
I,6350001,6360000,6354196,180,0.0,100%
I,6370001,6380000,6373978,179,0.0,100%
I,6420001,6430000,6425408,180,0.0,100%
I,6440001,6450000,6445500,161,0.0008,100%
I,6460001,6470000,6465886,180,0.0,100%
