Chr,BP_start,BP_end,FST,pop_pair
I,1,10000,0.0069,ishi-irio
I,10001,20000,-0.0022,ishi-irio
I,20001,30000,-0.0315,ishi-irio
I,70001,80000,0.0509,ishi-irio
I,90001,100000,-0.0308,ishi-irio
I,100001,110000,0.0336,ishi-irio
I,110001,120000,0.0071,ishi-irio
I,120001,130000,0.0261,ishi-irio
I,130001,140000,0.0017,ishi-irio
I,140001,150000,0.0333,ishi-irio
I,150001,160000,0.0205,ishi-irio
I,160001,170000,0.0381,ishi-irio
I,170001,180000,0.629,ishi-irio
I,180001,190000,0.093,ishi-irio
I,190001,200000,0.0033,ishi-irio
I,200001,210000,-0.2315,ishi-irio
I,210001,220000,-0.0539,ishi-irio
I,220001,230000,-0.007,ishi-irio
I,230001,240000,0.0642,ishi-irio
I,240001,250000,-0.0085,ishi-irio
I,250001,260000,0.0629,ishi-irio
I,260001,270000,0.0519,ishi-irio
I,280001,290000,0.1637,ishi-irio
I,290001,300000,0.033,ishi-irio
I,300001,310000,0.0437,ishi-irio
I,310001,320000,0.0613,ishi-irio
I,320001,330000,0.0502,ishi-irio
I,330001,340000,0.0331,ishi-irio
I,340001,350000,0.0592,ishi-irio
I,360001,370000,0.0269,ishi-irio
I,370001,380000,-0.0284,ishi-irio
I,380001,390000,0.0201,ishi-irio
I,390001,400000,-0.0273,ishi-irio
I,400001,410000,-0.0498,ishi-irio
I,410001,420000,-0.0006,ishi-irio
I,420001,430000,-0.0023,ishi-irio
I,430001,440000,0.0015,ishi-irio
I,440001,450000,-0.0179,ishi-irio
I,450001,460000,0.0141,ishi-irio
I,460001,470000,0.0066,ishi-irio
I,470001,480000,0.0173,ishi-irio
I,480001,490000,0.0029,ishi-irio
I,490001,500000,0.0018,ishi-irio
I,500001,510000,-0.0047,ishi-irio
I,510001,520000,-0.0441,ishi-irio
I,550001,560000,-0.0222,ishi-irio
I,570001,580000,0.007,ishi-irio
I,580001,590000,0.0432,ishi-irio
I,590001,600000,-0.0016,ishi-irio
I,600001,610000,0.0731,ishi-irio
I,610001,620000,0.0045,ishi-irio
I,620001,630000,-0.0167,ishi-irio
I,640001,650000,0.0061,ishi-irio
I,650001,660000,0.0496,ishi-irio
I,660001,670000,-0.0484,ishi-irio
I,670001,680000,0.0178,ishi-irio
I,680001,690000,0.0066,ishi-irio
I,690001,700000,0.0396,ishi-irio
I,700001,710000,0.0249,ishi-irio
I,710001,720000,0.0463,ishi-irio
I,720001,730000,0.0499,ishi-irio
I,730001,740000,0.0212,ishi-irio
I,740001,750000,-0.0173,ishi-irio
I,760001,770000,0.0549,ishi-irio
I,770001,780000,0.0519,ishi-irio
I,790001,800000,-0.0067,ishi-irio
I,800001,810000,-0.0077,ishi-irio
I,830001,840000,-0.023,ishi-irio
I,840001,850000,-0.0017,ishi-irio
I,870001,880000,-0.0074,ishi-irio
I,890001,900000,-0.0108,ishi-irio
I,900001,910000,0.0165,ishi-irio
I,910001,920000,-0.0012,ishi-irio
I,940001,950000,0.0623,ishi-irio
I,950001,960000,0.0909,ishi-irio
I,970001,980000,0.028,ishi-irio
I,980001,990000,-0.0071,ishi-irio
I,990001,1000000,0.015,ishi-irio
I,1000001,1010000,-0.0064,ishi-irio
I,1110001,1120000,-0.0029,ishi-irio
I,1140001,1150000,0.0381,ishi-irio
I,1160001,1170000,0.018,ishi-irio
I,1170001,1180000,0.0007,ishi-irio
I,1230001,1240000,0.0053,ishi-irio
I,1240001,1250000,0.0231,ishi-irio
