Chr	BP	R2	Species
I	1	0.1022960544	C. elegans
I	10001	0.09902879114	C. elegans
I	20001	0.1806679667	C. elegans
I	30001	0.1156966273	C. elegans
I	40001	0.1070062417	C. elegans
I	50001	0.1379652676	C. elegans
I	60001	0.1237595375	C. elegans
I	70001	0.09362105773	C. elegans
I	90001	0.06214912686	C. elegans
I	100001	0.08450669959	C. elegans
I	110001	0.06759560929	C. elegans
I	120001	0.1250610371	C. elegans
I	130001	0.08194320815	C. elegans
I	140001	0.1246492681	C. elegans
I	150001	0.2120175878	C. elegans
I	160001	0.1717496052	C. elegans
I	170001	0.1070962337	C. elegans
I	180001	0.0427726469	C. elegans
I	190001	0.09961261549	C. elegans
I	200001	0.05579892578	C. elegans
I	210001	0.08093194288	C. elegans
I	220001	0.1249468706	C. elegans
I	230001	0.08425595736	C. elegans
I	240001	0.05146095528	C. elegans
I	250001	0.04337787808	C. elegans
I	260001	0.1104911858	C. elegans
I	270001	0.1487873803	C. elegans
I	280001	0.1559662797	C. elegans
I	290001	0.1181598528	C. elegans
I	300001	0.1240918048	C. elegans
I	310001	0.1582496155	C. elegans
I	330001	0.09609422133	C. elegans
I	350001	0.1644299207	C. elegans
I	360001	0.1336509315	C. elegans
I	370001	0.06620066695	C. elegans
I	380001	0.135315905	C. elegans
I	390001	0.1305890828	C. elegans
I	400001	0.04989906206	C. elegans
I	410001	0.04815941723	C. elegans
I	420001	0.1787390321	C. elegans
I	430001	0.1550477293	C. elegans
I	440001	0.2124652252	C. elegans
I	450001	0.09585297268	C. elegans
I	460001	0.09312823253	C. elegans
I	470001	0.178439756	C. elegans
I	480001	0.1326024278	C. elegans
I	490001	0.1889559474	C. elegans
I	500001	0.1905727387	C. elegans
I	510001	0.07757829155	C. elegans
I	520001	0.06687721147	C. elegans
I	530001	0.08475629145	C. elegans
I	550001	0.0884603196	C. elegans
I	560001	0.09308064275	C. elegans
I	570001	0.1008675114	C. elegans
I	590001	0.06156716523	C. elegans
I	600001	0.06459731883	C. elegans
I	610001	0.04132772776	C. elegans
I	620001	0.05089121315	C. elegans
I	630001	0.08744550647	C. elegans
I	640001	0.06306947502	C. elegans
I	650001	0.08039845708	C. elegans
I	660001	0.2076193726	C. elegans
I	670001	0.06198326794	C. elegans
I	680001	0.07508293695	C. elegans
I	690001	0.04880793397	C. elegans
I	700001	0.0922233435	C. elegans
I	710001	0.05197428411	C. elegans
I	720001	0.1458045739	C. elegans
I	730001	0.2020266569	C. elegans
I	740001	0.2380752191	C. elegans
I	770001	0.1507365274	C. elegans
I	780001	0.2432635398	C. elegans
I	790001	0.1885941927	C. elegans
I	800001	0.0863040293	C. elegans
I	810001	0.2181296419	C. elegans
I	820001	0.04495729043	C. elegans
I	830001	0.1751324137	C. elegans
I	840001	0.1489287045	C. elegans
I	850001	0.07881314233	C. elegans
I	860001	0.09427293498	C. elegans
I	870001	0.09982254598	C. elegans
I	880001	0.05474296644	C. elegans
I	900001	0.07640628338	C. elegans
I	910001	0.11836428	C. elegans
I	920001	0.3251035193	C. elegans
I	930001	0.1019404578	C. elegans
I	950001	0.118117386	C. elegans
I	960001	0.03221370158	C. elegans
I	970001	0.1334043327	C. elegans
I	980001	0.09240024253	C. elegans
I	990001	0.1210521697	C. elegans
I	1000001	0.1559925779	C. elegans
I	1010001	0.1739059164	C. elegans
I	1030001	0.07549859444	C. elegans
I	1040001	0.09793489306	C. elegans
I	1050001	0.09919573917	C. elegans
I	1060001	0.06926109536	C. elegans
I	1070001	0.08516567186	C. elegans
I	1080001	0.1340284554	C. elegans
I	1090001	0.130737605	C. elegans
I	1100001	0.05083972128	C. elegans
I	1110001	0.06574202829	C. elegans
I	1120001	0.111583957	C. elegans
I	1130001	0.06130641567	C. elegans
I	1140001	0.05233223243	C. elegans
I	1150001	0.167555769	C. elegans
I	1160001	0.06559441485	C. elegans
I	1170001	0.09602229501	C. elegans
I	1200001	0.04626904043	C. elegans
I	1210001	0.09030146649	C. elegans
I	1220001	0.3268699611	C. elegans
I	1230001	0.07938068768	C. elegans
I	1240001	0.1231167922	C. elegans
I	1250001	0.09740460634	C. elegans
I	1260001	0.1099376536	C. elegans
I	1270001	0.09198037207	C. elegans
I	1280001	0.117087386	C. elegans
I	1290001	0.0685954655	C. elegans
I	1300001	0.1917099864	C. elegans
I	1310001	0.1520450159	C. elegans
I	1330001	0.1162240045	C. elegans
I	1340001	0.1676839637	C. elegans
I	1360001	0.1255993633	C. elegans
I	1370001	0.06749966419	C. elegans
I	1400001	0.1758514875	C. elegans
I	1410001	0.2095017676	C. elegans
I	1420001	0.09896340052	C. elegans
I	1430001	0.05031770976	C. elegans
I	1440001	0.03815497789	C. elegans
I	1460001	0.1084147917	C. elegans
I	1470001	0.093968852	C. elegans
I	1480001	0.0458262861	C. elegans
I	1490001	0.08992833845	C. elegans
I	1500001	0.05893345776	C. elegans
I	1520001	0.1073826937	C. elegans
I	1530001	0.08236118937	C. elegans
I	1540001	0.06595659379	C. elegans
I	1550001	0.05800325815	C. elegans
I	1560001	0.05501418157	C. elegans
I	1570001	0.04590232736	C. elegans
I	1580001	0.04812968974	C. elegans
I	1590001	0.06133798028	C. elegans
I	1600001	0.06226737701	C. elegans
I	1610001	0.1117924703	C. elegans
I	1620001	0.2254409655	C. elegans
I	1630001	0.09066454396	C. elegans
I	1640001	0.106561589	C. elegans
I	1650001	0.0917621711	C. elegans
I	1660001	0.07892593409	C. elegans
I	1670001	0.08149735936	C. elegans
I	1680001	0.1158472812	C. elegans
I	1690001	0.06697909494	C. elegans
I	1700001	0.08806377891	C. elegans
I	1710001	0.0498585723	C. elegans
I	1720001	0.06555502907	C. elegans
I	1730001	0.08194819114	C. elegans
I	1740001	0.09544674112	C. elegans
I	1750001	0.04472622837	C. elegans
I	1780001	0.05058775767	C. elegans
I	1800001	0.04046526616	C. elegans
I	1810001	0.08125558734	C. elegans
I	1820001	0.1445674161	C. elegans
I	1830001	0.06328319799	C. elegans
I	1840001	0.07012314572	C. elegans
I	1850001	0.06246420133	C. elegans
I	1860001	0.1058543003	C. elegans
I	1880001	0.04738753013	C. elegans
I	1890001	0.06061898144	C. elegans
