chr,start,end,mid,sites,pi_all,codon_position
I,40001,50000,46285,266,0.0003,1
I,50001,60000,57336,255,0.0,1
I,110001,120000,113738,318,0.0,1
I,120001,130000,123182,266,0.0008,1
I,130001,140000,138615,160,0.0,1
I,140001,150000,143157,351,0.0,1
I,150001,160000,151600,440,0.0,1
I,200001,210000,203114,344,0.0,1
I,300001,310000,305701,291,0.0,1
I,310001,320000,315022,229,0.0,1
I,350001,360000,352978,229,0.0011,1
I,360001,370000,365738,327,0.0,1
I,420001,430000,422228,160,0.0,1
I,450001,460000,457687,455,0.0002,1
I,500001,510000,508331,487,0.0,1
I,510001,520000,514039,192,0.0004,1
I,590001,600000,596011,183,0.0,1
I,650001,660000,653540,257,0.0,1
I,680001,690000,685450,279,0.0038,1
I,690001,700000,690836,270,0.0067,1
I,710001,720000,717611,227,0.0011,1
I,740001,750000,744512,187,0.0,1
I,770001,780000,774476,174,0.0,1
I,820001,830000,826907,191,0.0004,1
I,900001,910000,909115,165,0.0,1
I,910001,920000,913050,253,0.0004,1
I,1000001,1010000,1007258,310,0.0004,1
I,1030001,1040000,1034188,393,0.0002,1
I,1060001,1070000,1064938,185,0.0,1
I,1340001,1350000,1344012,306,0.0003,1
I,1460001,1470000,1465918,248,0.0016,1
I,1570001,1580000,1576133,160,0.0,1
I,1640001,1650000,1644301,402,0.0019,1
I,1670001,1680000,1672613,243,0.002,1
I,1780001,1790000,1784299,378,0.0,1
I,1810001,1820000,1815204,250,0.0022,1
I,1820001,1830000,1824600,171,0.0005,1
I,1830001,1840000,1833688,269,0.0,1
I,1920001,1930000,1927874,250,0.0,1
I,2040001,2050000,2049454,207,0.0004,1
I,2110001,2120000,2112348,237,0.0,1
I,2190001,2200000,2195668,179,0.0,1
I,2230001,2240000,2237303,408,0.001,1
I,2250001,2260000,2257449,190,0.0,1
I,2260001,2270000,2264980,218,0.0004,1
I,2290001,2300000,2294566,185,0.0,1
I,2300001,2310000,2304759,583,0.0,1
I,2310001,2320000,2314352,518,0.0003,1
I,2320001,2330000,2324695,184,0.0,1
I,2450001,2460000,2453737,168,0.0,1
I,2480001,2490000,2486389,202,0.0026,1
I,2550001,2560000,2555241,224,0.0,1
I,2590001,2600000,2592865,235,0.0,1
I,2620001,2630000,2623380,489,0.0006,1
I,2640001,2650000,2643352,182,0.0,1
I,2710001,2720000,2713967,241,0.0,1
I,2750001,2760000,2757915,223,0.0004,1
I,2780001,2790000,2785160,419,0.0014,1
I,2800001,2810000,2806231,314,0.0006,1
I,2810001,2820000,2812897,470,0.0015,1
I,2880001,2890000,2886286,309,0.0003,1
I,2890001,2900000,2895280,320,0.0003,1
I,2910001,2920000,2915216,234,0.0017,1
I,2920001,2930000,2924975,229,0.0007,1
I,2950001,2960000,2952244,268,0.0009,1
I,2990001,3000000,2995092,220,0.0024,1
I,3010001,3020000,3013379,353,0.0005,1
