Chr	BP	Fis	species
I	0	-0.07295	inopinata
I	10000	-0.23393	inopinata
I	20000	-0.098215	inopinata
I	60000	0.1141561111	inopinata
I	70000	-0.03276757143	inopinata
I	90000	0.2331805556	inopinata
I	100000	0.07456277778	inopinata
I	110000	-0.0301127381	inopinata
I	120000	-0.09279135714	inopinata
I	130000	0.0007643124991	inopinata
I	140000	0.04368443182	inopinata
I	150000	-0.05393263636	inopinata
I	160000	-0.21317	inopinata
I	170000	0.61765	inopinata
I	180000	-0.02632	inopinata
I	190000	-0.09795	inopinata
I	200000	-0.024405	inopinata
I	210000	0.0166125	inopinata
I	220000	0.2941175	inopinata
I	230000	0.1048941884	inopinata
I	240000	0.1150144524	inopinata
I	250000	0.1298763636	inopinata
I	260000	0.1835138889	inopinata
I	280000	0.1011977381	inopinata
I	290000	0.323746	inopinata
I	300000	0.2530216667	inopinata
I	310000	0.1035659405	inopinata
I	320000	-0.08083083334	inopinata
I	330000	0.2961171875	inopinata
I	340000	0.04630106481	inopinata
I	350000	0.4144166667	inopinata
I	360000	0.1561526515	inopinata
I	370000	0.1249599542	inopinata
I	380000	0.01776777778	inopinata
I	390000	0.004747	inopinata
I	400000	0.137896	inopinata
I	410000	0.01589222222	inopinata
I	420000	0.04736070176	inopinata
I	430000	0.0424125641	inopinata
I	440000	0.05751358025	inopinata
I	450000	-0.06599708333	inopinata
I	460000	0.2308734722	inopinata
I	470000	0.2082388889	inopinata
I	480000	0.04732731293	inopinata
I	490000	0.02244171826	inopinata
I	500000	0.09134621599	inopinata
I	510000	0.0781373125	inopinata
I	530000	0.024125	inopinata
I	540000	0.1624616667	inopinata
I	550000	0.1677688768	inopinata
I	570000	-0.07265055556	inopinata
I	580000	0.2691206667	inopinata
I	590000	-0.0391475	inopinata
I	600000	0.01829333334	inopinata
I	610000	0.09167228551	inopinata
I	620000	-0.0014325	inopinata
I	640000	-0.006579733333	inopinata
I	650000	0.1928179672	inopinata
I	660000	-0.04813133333	inopinata
I	670000	0.06336792222	inopinata
I	680000	0.06604557471	inopinata
I	690000	0.171119	inopinata
I	700000	0.03593093333	inopinata
I	710000	0.06211694445	inopinata
I	720000	0.09852532823	inopinata
I	730000	0.1562557519	inopinata
I	740000	0.1184595104	inopinata
I	760000	0.1010901852	inopinata
I	770000	-0.1212442803	inopinata
I	790000	0.08243046875	inopinata
I	800000	0.248069113	inopinata
I	810000	0.08042	inopinata
I	820000	-0.06627722222	inopinata
I	830000	0.1402571203	inopinata
I	840000	0.03473191262	inopinata
I	850000	0.695315	inopinata
I	870000	0.09945734127	inopinata
I	890000	-0.0003600185178	inopinata
I	900000	0.06681597339	inopinata
I	910000	-0.00434	inopinata
I	920000	-0.153235	inopinata
I	930000	-0.1705022619	inopinata
I	940000	0.1189300972	inopinata
I	950000	0.1328814727	inopinata
I	960000	-0.02846722223	inopinata
I	970000	0.1004330741	inopinata
I	980000	0.09774333334	inopinata
