chr,start,end,mid,sites,pi_all,fold_degeneracy
I,20001,30000,28952,219,0.0004,0
I,40001,50000,46294,477,0.0013,0
I,50001,60000,57358,455,0.0006,0
I,80001,90000,88499,166,0.0,0
I,90001,100000,98890,210,0.0,0
I,100001,110000,106778,194,0.0,0
I,110001,120000,113663,577,0.0,0
I,120001,130000,123182,475,0.0,0
I,130001,140000,138631,278,0.0,0
I,140001,150000,143218,631,0.0002,0
I,150001,160000,151595,761,0.0,0
I,180001,190000,185279,275,0.0011,0
I,190001,200000,191691,244,0.0,0
I,200001,210000,203081,604,0.0009,0
I,250001,260000,256271,251,0.0,0
I,280001,290000,283218,218,0.0012,0
I,300001,310000,305772,493,0.0,0
I,310001,320000,314951,413,0.0,0
I,320001,330000,320171,204,0.0,0
I,350001,360000,352990,398,0.0002,0
I,360001,370000,365749,607,0.0003,0
I,370001,380000,377699,173,0.0006,0
I,410001,420000,410764,243,0.0,0
I,420001,430000,422214,283,0.0,0
I,450001,460000,457700,801,0.0001,0
I,460001,470000,463739,162,0.0,0
I,490001,500000,492252,250,0.0006,0
I,500001,510000,508300,880,0.0003,0
I,510001,520000,514138,343,0.0,0
I,530001,540000,535875,269,0.0006,0
I,590001,600000,595989,315,0.0,0
I,610001,620000,618818,241,0.0,0
I,630001,640000,634751,228,0.0,0
I,650001,660000,653559,459,0.0,0
I,660001,670000,667093,236,0.0,0
I,680001,690000,685433,489,0.0022,0
I,690001,700000,690820,483,0.0037,0
I,710001,720000,717696,399,0.0,0
I,740001,750000,744429,307,0.0,0
I,770001,780000,774532,324,0.0003,0
I,820001,830000,826860,339,0.0005,0
I,860001,870000,864979,249,0.0017,0
I,870001,880000,875232,280,0.0015,0
I,900001,910000,909082,288,0.0,0
I,910001,920000,913052,462,0.0005,0
I,1000001,1010000,1007273,541,0.0005,0
I,1030001,1040000,1034161,678,0.0001,0
I,1040001,1050000,1044645,218,0.0,0
I,1060001,1070000,1064986,330,0.0,0
I,1110001,1120000,1114230,267,0.0024,0
I,1130001,1140000,1137091,170,0.0,0
I,1140001,1150000,1142734,244,0.0,0
I,1160001,1170000,1167935,209,0.0,0
I,1200001,1210000,1207534,240,0.0,0
I,1230001,1240000,1233115,256,0.0,0
I,1240001,1250000,1243173,246,0.0,0
I,1250001,1260000,1255295,244,0.0003,0
I,1280001,1290000,1287492,165,0.0005,0
I,1320001,1330000,1328020,160,0.0,0
I,1340001,1350000,1344006,567,0.0001,0
I,1420001,1430000,1420387,196,0.0,0
I,1440001,1450000,1441029,180,0.0,0
I,1460001,1470000,1465863,438,0.0009,0
I,1570001,1580000,1576210,272,0.0,0
I,1590001,1600000,1591324,228,0.0004,0
I,1620001,1630000,1625719,240,0.0018,0
I,1640001,1650000,1644287,725,0.0012,0
I,1650001,1660000,1657206,272,0.0006,0
I,1670001,1680000,1672612,408,0.0004,0
I,1690001,1700000,1699853,183,0.0,0
I,1700001,1710000,1705637,237,0.0,0
I,1710001,1720000,1710824,171,0.0,0
I,1720001,1730000,1726183,278,0.0,0
I,1730001,1740000,1738755,235,0.0,0
I,1750001,1760000,1752748,165,0.0005,0
I,1780001,1790000,1784310,668,0.0,0
I,1800001,1810000,1804497,227,0.0007,0
I,1810001,1820000,1815123,440,0.0019,0
I,1820001,1830000,1824612,315,0.0,0
I,1830001,1840000,1833684,491,0.0002,0
I,1840001,1850000,1846483,167,0.0031,0
I,1860001,1870000,1864268,242,0.0,0
I,1890001,1900000,1896386,161,0.0,0
I,1910001,1920000,1916344,258,0.0016,0
I,1920001,1930000,1927864,430,0.0,0
I,1930001,1940000,1938559,243,0.0,0
I,1940001,1950000,1942615,264,0.0029,0
I,2040001,2050000,2049452,357,0.0002,0
I,2060001,2070000,2068683,179,0.0,0
I,2070001,2080000,2072069,264,0.0003,0
I,2080001,2090000,2087231,204,0.0,0
I,2100001,2110000,2102958,186,0.0025,0
I,2110001,2120000,2112326,425,0.0,0
