scaffold,start,end,mid,sites,pi_all,species,gen_region
I,1,10000,8117,429,0.0022,elegans,genic
I,10001,20000,14889,959,0.0012,elegans,genic
I,20001,30000,25820,869,0.0004,elegans,genic
I,30001,40000,31426,1257,0.0014,elegans,genic
I,40001,50000,46319,1090,0.0013,elegans,genic
I,50001,60000,57655,1227,0.0006,elegans,genic
I,60001,70000,62150,485,0.0014,elegans,genic
I,70001,80000,73309,426,0.0011,elegans,genic
I,80001,90000,88590,538,0.0,elegans,genic
I,90001,100000,98010,772,0.0001,elegans,genic
I,100001,110000,106475,1203,0.001,elegans,genic
I,110001,120000,113750,1600,0.0,elegans,genic
I,120001,130000,125360,1570,0.0011,elegans,genic
I,130001,140000,135505,1475,0.0011,elegans,genic
I,140001,150000,143678,1422,0.0002,elegans,genic
I,150001,160000,151659,1846,0.0001,elegans,genic
I,160001,170000,167078,785,0.0022,elegans,genic
I,180001,190000,184388,773,0.0004,elegans,genic
I,190001,200000,195460,1485,0.0011,elegans,genic
I,200001,210000,204132,1619,0.0021,elegans,genic
I,250001,260000,256195,787,0.0003,elegans,genic
I,280001,290000,283372,1745,0.0009,elegans,genic
I,290001,300000,295295,1554,0.0008,elegans,genic
I,300001,310000,305199,1629,0.0008,elegans,genic
I,310001,320000,314004,930,0.0,elegans,genic
I,320001,330000,325055,745,0.0,elegans,genic
I,330001,340000,335572,545,0.009,elegans,genic
I,340001,350000,344351,278,0.0,elegans,genic
I,350001,360000,352852,719,0.0003,elegans,genic
I,360001,370000,366489,1509,0.001,elegans,genic
I,370001,380000,377765,744,0.0009,elegans,genic
I,380001,390000,388357,280,0.0,elegans,genic
I,390001,400000,393834,600,0.0019,elegans,genic
I,400001,410000,406677,389,0.0044,elegans,genic
I,410001,420000,413661,1052,0.0015,elegans,genic
I,420001,430000,422377,1061,0.0014,elegans,genic
I,440001,450000,448092,425,0.0022,elegans,genic
I,450001,460000,457770,1749,0.0007,elegans,genic
I,460001,470000,463897,859,0.0008,elegans,genic
I,480001,490000,484732,444,0.0023,elegans,genic
I,490001,500000,492781,1358,0.001,elegans,genic
I,500001,510000,508167,2273,0.0004,elegans,genic
I,510001,520000,515111,2138,0.0017,elegans,genic
I,530001,540000,537070,1247,0.0014,elegans,genic
I,550001,560000,556096,1333,0.0069,elegans,genic
